Title,Location,Company,Salary,Advert Date
Data Management Analyst,,Outsource UK,"£38,000 - £48,000 a year",29/3/2021
"Analyst, Collateral Management - Clearing",,BlackRock,,6/5/2021
Interim Risk Analyst - Fixed term contract,,TSB,"£25,000 - £29,460 a year",17/5/2021
Digital Analyst / SEO Tech,,8 Million Stories (8MS.com),,6/5/2021
Statistical Data Analyst,Edinburgh,Quotient Limited,,March 2021
Junior Marketing Data Analyst Role (Edinburgh - Immediate St...,Edinburgh,Merkle Periscopix,,9/4/2021
Data Analyst,Edinburgh,Standard Life Aberdeen,,April 2021
Business Analyst,Edinburgh,CITI,,4/4/2021
Data Management Analyst,Edinburgh,Outsource UK,"£38,000 - £48,000 a year",
IT Analyst (x24),Edinburgh,Tesco Bank,,24/4/2021
"Business/Data Analyst, Associate",Edinburgh,BlackRock,,May 2021
Data Analyst,Edinburgh,FINTEC recruit,"£35,000 - £40,000 a year",April 2021
Graduate IT Innovation Analyst,Edinburgh,Leonardo,,March 2021
Data Privacy Compliance Analyst,Edinburgh,FNZ,,April 2021
"Aladdin Business, Client Services Analyst",,BlackRock,,10/4/2021
"Technical Support Analyst, Aladdin Product Group",,BlackRock,,18/5/2021
Systems Analyst,,Core-Asset Consulting,,5/5/2021
DATA GOVERNANCE ANALYST,,Core-Asset Consulting,,0/5/2021
"Business/Data Analyst, Associate",,BlackRock,,May 2021
"Analyst, EMEARC Wind",Edinburgh,Wood Mackenzie,,March 2021
"Wealth Management, Operations Team Member, Edinburgh",Edinburgh,JP Morgan Chase,,3/3/2021
Business Analyst - Transformation (X7),Edinburgh,Tesco Bank,,April 2021
Client Servicing Analyst,Edinburgh,Clearwater Analytics,,30/3/2021
Insider and DLP Operations Analyst,Edinburgh,Lloyds Banking Group,"£24,750 - £27,500 a year",0/4/2021
Assistant Statistician,Edinburgh,The Scottish Government,"£29,759 - £34,087 a year",
Business Analyst (Data BA),Edinburgh,Core-Asset Consulting,,April 2021
HR Payroll Data Analyst,Edinburgh,FNZ,,April 2021
"Analyst, Collateral Management - Clearing",Edinburgh,BlackRock,,19/4/2021
Financial Analyst / Accountant,Edinburgh,Coda Octopus Products Ltd,,May 2021
Regulatory Costs Calculations and Project Management Analyst,,BlackRock,,
