Title,Location,Company,Salary,Advert Date
"Consultant, Digital Science | Forensic Litigation Consulting",,"FTI Consulting, Inc.",,
"Product Manager, BI & Data Analytics",,Verizon,,24/3/2021
Senior Strategist - Client Success,,Indeed,"€60,000 - €85,000 a year",April 2021
Finance Assistant,,Food+ by Compass Group,"€32,500 a year",23/4/2021
Research Intern,"Saggart, County Dublin",Xilinx,,14/3/2021
Research Intern 2020,Dublin,IBM,,7/4/2021
Bell Labs Research Intern,Dublin,NOKIA,,5/3/2021
Junior Engineer,"Leixlip, County Kildare",Intel,,29/4/2021
Manager - Data Science,Dublin,PayPal,,21/5/2021
Production Operator,"Arklow, County Wicklow",Merck KGaA,,6/4/2021
2020 Production Engineer Intern,Dublin,Facebook,,March 2021
Lead Data Science Engineer,Dublin,Sojern,,9/3/2021
Senior Data Science Engineer,Dublin,Sojern,,May 2021
Data Engineer,Dublin,Web Summit,,18/5/2021
Verizon Connect Grad Program,,Verizon,,May 2021
Lead Data Scientist,,Bank of Ireland,,March 2021
Junior Digital Copywriter,Dublin,Web Summit,,25/5/2021
Manager Data Science,Dublin,RELX Group,,3/4/2021
NLP Data Scientist,Dublin,IT Search,,19/4/2021
Data Modeller,"Mullingar, County Westmeath",Eolas Recruitment,,19/3/2021
Data Scientist,Dublin,Hewlett Packard Enterprise,,12/5/2021
Data Science Manager,Dublin,Sojern,,13/5/2021
Scientist - Clinical Evaluation,"Bray, County Wicklow",Oriflame,,7/3/2021
Digital Copywriter,Dublin,Web Summit,,25/5/2021
Internship Opportunities in Europe for Students (Multiple Lo...,Dublin,Microsoft,,April 2021
Pricing analyst(Graduate),"South Dublin, County Dublin",Barden FS,"€36,000 - €40,000 a year",22/4/2021
On-line Data Services Co-ordinator,,"EUMETSAT, based in Darmstadt, Germany","€132,600 a year",28/5/2021
Junior Office Administrator,Kildare,Mercury Engineering,,April 2021
DATA ENTRY OFFICER / SAMPLE REGISTRATION OFFICE,Dublin,Eurofins Ireland Clinical Diagnostics,,May 2021
Research & Development Technician,"Naas, County Kildare",Enfer Scientific,€12 an hour,28/3/2021
Data Scientist/Software Developer,Dublin,IBM,,7/5/2021
Studio Data Science Innovator,Dublin,Accenture,,March 2021
Data Scientist,"Sandyford, County Dublin",Truata,,31/3/2021
"Strategic Negotiator, Data Center",Dublin,Google,,
Junior Market Data Engineer,Dublin,"Susquehanna International Group, LLP",,12/3/2021
Medical Laboratory Aide - NCC 48242-19,"South Dublin, County Dublin",St. James's Hospital,,May 2021
Data Scientist,"South Dublin, County Dublin",Cartrawler,,March 2021
General Operatives (Various Locations),Dublin,Mercury Engineering,,6/3/2021
Senior Data Scientist,Dublin,Eaton,,28/4/2021
Service Administrator,"Rathcoole, County Dublin",Manepa Medical,,2/3/2021
Data Scientist - The Dock,Dublin,Accenture,,25/5/2021
Oracle PL/SQL Developer,"Port Laoise, County Laois",Version 1,,20/4/2021
Data Engineer - Merchant Operations,Dublin,Zalando,,5/4/2021
"Data Engineer, Analytics",Dublin,Facebook,,18/4/2021
Full Time Opportunities for Students and Recent Graduates in...,Dublin,Microsoft,,
Data Center Technician,Dublin,Microsoft,,May 2021
Data Analyst,Dublin,Critical Path Institute - Ireland,,13/3/2021
Data Scientist,Dublin,IBM,,May 2021
Data Science Manager,Dublin,TFG Co,,22/5/2021
Grade V - Applications Analyst 48283-19,"South Dublin, County Dublin",St. James's Hospital,"€42,773 - €51,375 a year",14/5/2021
Intern GIS Analyst,Dublin,Jacobs,,9/3/2021
Data Scientist,Dublin,AXA Ireland,,22/3/2021
Xilinx University Program Intern,"Saggart, County Dublin",Xilinx,,April 2021
QC Chemist,Dublin,Allergan,,March 2021
Senior Data Scientist - Core Data Science,Dublin,TFG Co,,12/3/2021
Event Producer,Dublin,Web Summit,,14/3/2021
GIS Analyst - Geocomputational Analyst - Data,Dublin,IT Search,,March 2021
"Senior Data Scientist – Visualization, Novartis, Dublin",Dublin,Novartis,,16/5/2021
Production Coordinator,Dublin,Web Summit,,19/5/2021
Junior Market Data Engineer,Dublin,Susquehanna International Group,,March 2021
Python Developer / Machine Learning Engineer,"Dundalk, County Louth",Konnekt-able Technologies,"€25,000 - €30,000 a year",24/4/2021
QC Chemist-Finished Product,Dublin,Allergan,,8/3/2021
Data Engineer,Dublin,Facebook,,March 2021
"Data Specialist, Digital Rights",Dublin,Facebook,,4/3/2021
"GO Market Specialist, Market Operations, Indonesian",Dublin,Facebook,,28/4/2021
Senior Data Engineer,Dublin,Web Summit,,24/5/2021
Lead Data Scientist,Dublin,Bank of Ireland,,31/3/2021
Data Scientist,Dublin,The Stars Group,,
Research Analyst,Dublin,HokuApps Pte Ltd,,
"Consultant, Digital Science | Forensic Litigation Consulting",Dublin,"FTI Consulting, Inc.",,8/4/2021
"GO Market Specialist, Market Operations (Portuguese)",Dublin,Facebook,,April 2021
Project Executive Assistant,Kildare,Mercury Engineering,,16/3/2021
"Head Data Scientist - NLP Lead, Innovation AI Lab",Dublin,Novartis,,6/3/2021
"Head Data Scientist – Visualisation Lead, Innovation AI Lab",Dublin,Novartis,,April 2021
"Head Data Scientist - Causal Predictive Lead, Innovation AI...",Dublin,Novartis,,May 2021
"Senior Data Scientist - Causal Predictive, AI Innovation Lab",Dublin,Novartis,,19/3/2021
Graduate Software Engineer,Dublin,IBM,,12/4/2021
Data Scientist - Data Modelling - Customer Analytics,Dublin,IT Search,,18/4/2021
Quantity Surveyor,"Maynooth, County Kildare",Exyte,,19/3/2021
Warehouse General Operator,Kildare,Mercury Engineering,,March 2021
"Ecommerce Data Analyst, Trust and Safety",Dublin,Google,,9/3/2021
Software Engineer Intern,"Saggart, County Dublin",Xilinx,,1/5/2021
Product Consultant (JR1011176),"Dún Laoghaire, County Dublin",Broadridge,,2/5/2021
Quality Manager,"Maynooth, County Kildare",Exyte,,4/5/2021
"Data Analytics Analyst, Community Operations",Dublin,Facebook,,April 2021
MS&T Scientist,"Dunboyne, County Meath",Takeda Pharmaceuticals,,9/4/2021
Global Technical Support Intern,Dublin,PayPal,,9/4/2021
Site Reliability Intern,,Indeed,,24/5/2021
Senior Data Scientist,Dublin,PayPal,,April 2021
Operations Analyst,Dublin,Web Summit,,24/4/2021
